2021-12-21 17:51:23.696 |  INFO | 13632 | [main] | org.apache.catalina.core.StandardEngine  | Starting Servlet engine: [Apache Tomcat/9.0.41]
2021-12-21 17:51:23.761 |  INFO | 13632 | [main] | o.a.c.c.C.[Tomcat].[localhost].[/]       | Initializing Spring embedded WebApplicationContext
2021-12-21 17:51:23.762 |  INFO | 13632 | [main] | w.s.c.ServletWebServerApplicationContext | Root WebApplicationContext: initialization completed in 851 ms
2021-12-21 17:51:23.891 |  INFO | 13632 | [main] | o.s.s.concurrent.ThreadPoolTaskExecutor  | Initializing ExecutorService 'applicationTaskExecutor'
2021-12-21 17:51:24.022 |  INFO | 13632 | [main] | o.s.b.w.embedded.tomcat.TomcatWebServer  | Tomcat started on port(s): 8080 (http) with context path ''
2021-12-21 17:51:24.029 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | Started KafkaSsart in 1.507 seconds (JVM running for 1.789)
2021-12-21 17:51:24.031 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 0
2021-12-21 17:51:24.147 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 1
2021-12-21 17:51:24.257 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 2
2021-12-21 17:51:24.368 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 3
2021-12-21 17:51:24.477 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 4
2021-12-21 17:51:24.587 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 5
2021-12-21 17:51:24.697 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 6
2021-12-21 17:51:24.807 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 7
2021-12-21 17:51:24.916 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 8
2021-12-21 17:51:25.024 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 9
2021-12-21 17:51:25.134 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 10
2021-12-21 17:51:25.246 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 11
2021-12-21 17:51:25.357 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 12
2021-12-21 17:51:25.468 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 13
2021-12-21 17:51:25.576 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 14
2021-12-21 17:51:25.683 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 15
2021-12-21 17:51:25.790 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 16
2021-12-21 17:51:25.898 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 17
2021-12-21 17:51:26.005 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 18
2021-12-21 17:51:26.113 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 19
2021-12-21 17:51:26.223 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 20
2021-12-21 17:51:26.331 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 21
2021-12-21 17:51:26.441 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 22
2021-12-21 17:51:26.551 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 23
2021-12-21 17:51:26.661 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 24
2021-12-21 17:51:26.770 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 25
2021-12-21 17:51:26.879 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 26
2021-12-21 17:51:26.987 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 27
2021-12-21 17:51:27.096 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 28
2021-12-21 17:51:27.204 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 29
2021-12-21 17:51:27.314 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 30
2021-12-21 17:51:27.422 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 31
2021-12-21 17:51:27.531 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 32
2021-12-21 17:51:27.640 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 33
2021-12-21 17:51:27.748 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 34
2021-12-21 17:51:27.856 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 35
2021-12-21 17:51:27.965 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 36
2021-12-21 17:51:28.075 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 37
2021-12-21 17:51:28.182 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 38
2021-12-21 17:51:28.291 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 39
2021-12-21 17:51:28.400 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 40
2021-12-21 17:51:28.510 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 41
2021-12-21 17:51:28.618 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 42
2021-12-21 17:51:28.726 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 43
2021-12-21 17:51:28.834 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 44
2021-12-21 17:51:28.941 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 45
2021-12-21 17:51:29.051 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 46
2021-12-21 17:51:29.159 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 47
2021-12-21 17:51:29.266 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 48
2021-12-21 17:51:29.373 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 49
2021-12-21 17:51:29.482 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 50
2021-12-21 17:51:29.589 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 51
2021-12-21 17:51:29.698 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 52
2021-12-21 17:51:29.806 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 53
2021-12-21 17:51:29.914 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 54
2021-12-21 17:51:30.021 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 55
2021-12-21 17:51:30.130 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 56
2021-12-21 17:51:30.239 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 57
2021-12-21 17:51:30.349 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 58
2021-12-21 17:51:30.458 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 59
2021-12-21 17:51:30.566 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 60
2021-12-21 17:51:30.675 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 61
2021-12-21 17:51:30.783 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 62
2021-12-21 17:51:30.892 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 63
2021-12-21 17:51:31.000 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 64
2021-12-21 17:51:31.109 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 65
2021-12-21 17:51:31.217 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 66
2021-12-21 17:51:31.325 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 67
2021-12-21 17:51:31.433 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 68
2021-12-21 17:51:31.541 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 69
2021-12-21 17:51:31.650 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 70
2021-12-21 17:51:31.759 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 71
2021-12-21 17:51:31.868 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 72
2021-12-21 17:51:31.976 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 73
2021-12-21 17:51:32.084 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 74
2021-12-21 17:51:32.192 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 75
2021-12-21 17:51:32.301 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 76
2021-12-21 17:51:32.410 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 77
2021-12-21 17:51:32.520 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 78
2021-12-21 17:51:32.628 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 79
2021-12-21 17:51:32.739 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 80
2021-12-21 17:51:32.846 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 81
2021-12-21 17:51:32.955 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 82
